"Serial","ID","Asset Number"
"FV90GHDJT4","SC413","จักราชวิทยา_SC413"
"L37L7WJ233","SC1025","จักราชวิทยา_SC1025"
"M2RKJH1WM6","SC942","จักราชวิทยา_SC942"
"C0M0HJ9JLY","SC983","จักราชวิทยา_SC983"
"CQKJRYP09R","SC225","จักราชวิทยา_SC225"
"KT9DQ622T2","SC563","จักราชวิทยา_SC563"
"KHCFWLK2DC","SC44","จักราชวิทยา_SC44"
"HQYQCHYXX3","SC321","จักราชวิทยา_SC321"
"FLYKHRW0X2","SC761","จักราชวิทยา_SC761"
"GKM0P7D0H9","SC1086","จักราชวิทยา_SC1086"
"DC2QPLWRDC","SC854","จักราชวิทยา_SC854"
"MHWVQD796R","SC807","จักราชวิทยา_SC807"
"KTF7Y099PV","SC467","จักราชวิทยา_SC467"
"GD4XRV6HWX","SC794","จักราชวิทยา_SC794"
"HYF27NXN6Q","SC1065","จักราชวิทยา_SC1065"
"MWTL6KNXVH","SC654","จักราชวิทยา_SC654"
"GY44P4F9G0","SC412","จักราชวิทยา_SC412"
"CFYPXQF403","SC545","จักราชวิทยา_SC545"
"F2LXJFY93J","SC715","จักราชวิทยา_SC715"
"MHJ633XJ4N","SC156","จักราชวิทยา_SC156"
"M4R7RYFVY3","SC404","จักราชวิทยา_SC404"
"GNVW6VJX9N","SC667","จักราชวิทยา_SC667"
"KG92TC6YG5","SC30","จักราชวิทยา_SC30"
"J1CX6J9XVX","SC79","จักราชวิทยา_SC79"
"HX29FQ303H","SC86","จักราชวิทยา_SC86"
"F7XLM4XVG4","SC938","จักราชวิทยา_SC938"
"JMJ2HV7D3F","TC78","จักราชวิทยา_TC78"
"M277Q9VMRY","TC04","จักราชวิทยา_TC04"
"LYF6L7NT92","SC973","จักราชวิทยา_SC973"
"JLF6YFHX2J","SC577","จักราชวิทยา_SC577"
"FKF2T3QNVX","SC110","จักราชวิทยา_SC110"
"CRF794CR91","SC956","จักราชวิทยา_SC956"
"DX6R6XJPV3","SC869","จักราชวิทยา_SC869"
"MJ2LCXLW6J","SC441","จักราชวิทยา_SC441"
"DG3GC95H23","SC947","จักราชวิทยา_SC947"
"HV9Q0PHF0J","SC187","จักราชวิทยา_SC187"
"J2HGHLHP6M","SC1056","จักราชวิทยา_SC1056"
"G72MW54N2D","SC1007","จักราชวิทยา_SC1007"
"LH6FV2Q9XQ","SC419","จักราชวิทยา_SC419"
"GKQ5VHHDHF","SC791","จักราชวิทยา_SC791"
"L7TGW4PX7G","SC1038","จักราชวิทยา_SC1038"
"CXK4T94573","SC837","จักราชวิทยา_SC837"
"HFM77CT4D5","SC1003","จักราชวิทยา_SC1003"
"MDWW7KJ993","SC68","จักราชวิทยา_SC68"
"LJN1XK4LTV","SC386","จักราชวิทยา_SC386"
"K3VG6G5QGH","SC629","จักราชวิทยา_SC629"
"C4H5M60J2D","SC437","จักราชวิทยา_SC437"
"GXKWLY7JTP","SC570","จักราชวิทยา_SC570"
"FP669YY4P5","SC208","จักราชวิทยา_SC208"
"CX932TDGWT","SC255","จักราชวิทยา_SC255"
"G97RL76N9K","SC29","จักราชวิทยา_SC29"
"KXRR2PG44G","SC339","จักราชวิทยา_SC339"
"LQX9WRMWLF","SC143","จักราชวิทยา_SC143"
"L2GP06P90H","SC23","จักราชวิทยา_SC23"
"H4KC64QCPX","TC87","จักราชวิทยา_TC87"
"CQYKNH3HCJ","SC945","จักราชวิทยา_SC945"
"GW49K4RL6M","SC438","จักราชวิทยา_SC438"
"F965WNWPFP","TC100","จักราชวิทยา_TC100"
"J4F0WDW209","SC597","จักราชวิทยา_SC597"
"FFP7Y2NQJQ","SC22","จักราชวิทยา_SC22"
"LWVHPHH9CY","SC814","จักราชวิทยา_SC814"
"MF6WG60HP0","SC177","จักราชวิทยา_SC177"
"JG9HX7N29M","TC124","จักราชวิทยา_TC124"
"MP40MK99NC","SC933","จักราชวิทยา_SC933"
"DL9Y31M4Y4","SC760","จักราชวิทยา_SC760"
"CY24THWDV4","SC375","จักราชวิทยา_SC375"
"CQ2V123FHT","SC887","จักราชวิทยา_SC887"
"JCXMLH073V","SC768","จักราชวิทยา_SC768"
"JQ6MKXMFCJ","SC683","จักราชวิทยา_SC683"
"G2XCGGXWX7","SC929","จักราชวิทยา_SC929"
"GWC21YJXY7","SC195","จักราชวิทยา_SC195"
"G74DFXHXM5","SC223","จักราชวิทยา_SC223"
"D1PD6XL2FP","SC670","จักราชวิทยา_SC670"
"HGD4V66216","SC623","จักราชวิทยา_SC623"
"KG0X2YWP4Y","SC33","จักราชวิทยา_SC33"
"JFM49M9NTH","SC13","จักราชวิทยา_SC13"
"GJ6NFPFHXF","SC01","จักราชวิทยา_SC01"
"GXM44QKWNY","TC85","จักราชวิทยา_TC85"
"K00M706HL0","TC08","จักราชวิทยา_TC08"
"D930XXG7L5","SC770","จักราชวิทยา_SC770"
"DY9MPG70PY","SC828","จักราชวิทยา_SC828"
"DQ10499MGG","SC343","จักราชวิทยา_SC343"
"MRP49797J6","SC859","จักราชวิทยา_SC859"
"F2VNPJYW1Y","SC406","จักราชวิทยา_SC406"
"CKXYKWQCYP","TC79","จักราชวิทยา_TC79"
"C372C0V2TY","SC366","จักราชวิทยา_SC366"
"H66K30J92P","SC914","จักราชวิทยา_SC914"
"F9RR9RFK67","SC1028","จักราชวิทยา_SC1028"
"J4TCWYCXQQ","SC318","จักราชวิทยา_SC318"
"HGV9D9RCQY","SC664","จักราชวิทยา_SC664"
"F0XVM04TDW","SC40","จักราชวิทยา_SC40"
"G2MDJYD4NK","SC472","จักราชวิทยา_SC472"
"HYGYFV54YM","SC993","จักราชวิทยา_SC993"
"LLXW1RQY3K","SC402","จักราชวิทยา_SC402"
"L2FQ6Q7VXD","SC273","จักราชวิทยา_SC273"
"FX1D9MH9C3","SC154","จักราชวิทยา_SC154"
"CYKPXV27V0","SC337","จักราชวิทยา_SC337"
"L0G4CC9T3D","SC309","จักราชวิทยา_SC309"
"MP2WR759RJ","SC531","จักราชวิทยา_SC531"
"LQ45QCFNR2","SC342","จักราชวิทยา_SC342"
"D34G4XTDGD","SC276","จักราชวิทยา_SC276"
"K7G4QTFPYQ","SC1044","จักราชวิทยา_SC1044"
"GQ4JC340R2","TC83","จักราชวิทยา_TC83"
"C4GDJN9J0J","SC465","จักราชวิทยา_SC465"
"L097THKKX4","SC925","จักราชวิทยา_SC925"
"FL9KQCRHXL","SC580","จักราชวิทยา_SC580"
"KK6V2TQ7CQ","SC866","จักราชวิทยา_SC866"
"GJV9F4YWRT","SC1033","จักราชวิทยา_SC1033"
"M665TX4J54","SC09","จักราชวิทยา_SC09"
"FPT6WJ4Q6D","SC679","จักราชวิทยา_SC679"
"K79395Q6MN","SC602","จักราชวิทยา_SC602"
"H49L4CY9JF","TC98","จักราชวิทยา_TC98"
"D9VYVP2VK2","SC1039","จักราชวิทยา_SC1039"
"G22R6WH0QD","SC634","จักราชวิทยา_SC634"
"HGV9RRQ9J2","SC1035","จักราชวิทยา_SC1035"
"JFYQW6NP64","SC685","จักราชวิทยา_SC685"
"MV3N453CFQ","SC259","จักราชวิทยา_SC259"
"KGK9P6PXJ0","SC948","จักราชวิทยา_SC948"
"DKC69X39T6","SC889","จักราชวิทยา_SC889"
"JW60D64T5Q","SC822","จักราชวิทยา_SC822"
"DC4W23GRX0","SC1053","จักราชวิทยา_SC1053"
"CN7PCWY4Y1","SC1045","จักราชวิทยา_SC1045"
"KQDG34Y96P","SC421","จักราชวิทยา_SC421"
"GX63MYQ4YV","SC779","จักราชวิทยา_SC779"
"FQ74N1VJDW","SC260","จักราชวิทยา_SC260"
"GP6T0L6W16","SC624","จักราชวิทยา_SC624"
"F6PP7KWP94","SC550","จักราชวิทยา_SC550"
"G9QK9FRJPC","SC243","จักราชวิทยา_SC243"
"M0066D7TD4","SC46","จักราชวิทยา_SC46"
"H96JFR96RM","SC258","จักราชวิทยา_SC258"
"HHJXJJMFMC","SC178","จักราชวิทยา_SC178"
"JHG9XP65PW","SC04","จักราชวิทยา_SC04"
"F7PDHVH9RN","SC106","จักราชวิทยา_SC106"
"DFDWM6706X","TC47","จักราชวิทยา_TC47"
"JX3PM7656T","TC102","จักราชวิทยา_TC102"
"LYVNQLP43M","SC575","จักราชวิทยา_SC575"
"HY60P7129H","SC270","จักราชวิทยา_SC270"
"HGH605G7CN","SC847","จักราชวิทยา_SC847"
"H2JVWGWLV4","SC448","จักราชวิทยา_SC448"
"M91XJNDWH3","SC675","จักราชวิทยา_SC675"
"C4VV6607Q2","SC205","จักราชวิทยา_SC205"
"CY6N7W6DQR","SC1063","จักราชวิทยา_SC1063"
"DVP37LXWHC","SC529","จักราชวิทยา_SC529"
"CL4QYVGXF0","SC969","จักราชวิทยา_SC969"
"LT9PGPRYWT","SC879","จักราชวิทยา_SC879"
"DY2LMXFNWQ","SC213","จักราชวิทยา_SC213"
"H2G2QDK9LQ","SC911","จักราชวิทยา_SC911"
"KG404H6270","SC862","จักราชวิทยา_SC862"
"M54THR42TH","SC1029","จักราชวิทยา_SC1029"
"FJWQYMH20T","SC917","จักราชวิทยา_SC917"
"JQY2TKHXR1","SC1002","จักราชวิทยา_SC1002"
"HPQ744HHDQ","SC971","จักราชวิทยา_SC971"
"F6G47CW24R","SC614","จักราชวิทยา_SC614"
"C9GG2D69WP","SC611","จักราชวิทยา_SC611"
"FXPJHXCQ96","SC396","จักราชวิทยา_SC396"
"G335255491","SC692","จักราชวิทยา_SC692"
"MWY4T6TK9M","SC70","จักราชวิทยา_SC70"
"L3Q30NJFM7","SC393","จักราชวิทยา_SC393"
"DWK2KJRRCY","SC159","จักราชวิทยา_SC159"
"M90JMFX6C0","SC27","จักราชวิทยา_SC27"
"JQ44MQ2X23","SC218","จักราชวิทยา_SC218"
"CY4MY65G2M","SC201","จักราชวิทยา_SC201"
"CL6LX4J0J3","SC348","จักราชวิทยา_SC348"
"CJCY6W7X6L","SC176","จักราชวิทยา_SC176"
"KF6NKJ91Q7","SC66","จักราชวิทยา_SC66"
"HD66JWG6C9","TC49","จักราชวิทยา_TC49"
"CVPXQDP45P","SC454","จักราชวิทยา_SC454"
"L93L5WW1CV","SC55","จักราชวิทยา_SC55"
"F2J40RYFPT","SC809","จักราชวิทยา_SC809"
"CW7694PKHY","SC429","จักราชวิทยา_SC429"
"L00F7D57L2","TC77","จักราชวิทยา_TC77"
"MCYTG9691D","SC811","จักราชวิทยา_SC811"
"JNV74FM64K","SC931","จักราชวิทยา_SC931"
"MKG2H59K02","SC313","จักราชวิทยา_SC313"
"K7G5V7734F","SC754","จักราชวิทยา_SC754"
"D2NWM17PJY","SC548","จักราชวิทยา_SC548"
"CQ7W6KJLC6","SC591","จักราชวิทยา_SC591"
"HYFPY16WWJ","SC134","จักราชวิทยา_SC134"
"L3K7L6J7ND","SC813","จักราชวิทยา_SC813"
"CNG3PD2JK0","TC123","จักราชวิทยา_TC123"
"K619MFWM96","SC1050","จักราชวิทยา_SC1050"
"DT2G6TWK0P","SC423","จักราชวิทยา_SC423"
"K9R62Q9HTP","SC968","จักราชวิทยา_SC968"
"LVPMQQWL25","SC506","จักราชวิทยา_SC506"
"M6435HHCYM","SC1067","จักราชวิทยา_SC1067"
"KT69477WC5","SC1101","จักราชวิทยา_SC1101"
"C4JWR46D0W","SC590","จักราชวิทยา_SC590"
"LC6NTWQ93D","SC617","จักราชวิทยา_SC617"
"G74RR44MDJ","SC407","จักราชวิทยา_SC407"
"LRF969DTWD","SC555","จักราชวิทยา_SC555"
"H6F2VF7YYG","SC247","จักราชวิทยา_SC247"
"J9TW966V7F","SC558","จักราชวิทยา_SC558"
"K6T9W563XY","SC544","จักราชวิทยา_SC544"
"DXHH7JVMYN","TC84","จักราชวิทยา_TC84"
"MQFWGX70KK","TC40","จักราชวิทยา_TC40"
"MH6C0FNVXL","TC116","จักราชวิทยา_TC116"
"KQ3W3LQG3G","SC780","จักราชวิทยา_SC780"
"DXV704V74Q","SC561","จักราชวิทยา_SC561"
"MGVHQ2K343","SC127","จักราชวิทยา_SC127"
"MHG7MGYC41","SC974","จักราชวิทยา_SC974"
"CLW014VNXH","SC1096","จักราชวิทยา_SC1096"
"FCFX7GR2DK","SC940","จักราชวิทยา_SC940"
"MQH7GJG94Q","SC824","จักราชวิทยา_SC824"
"MH2NR9K2VT","SC175","จักราชวิทยา_SC175"
"CW41M4N4VW","SC99","จักราชวิทยา_SC99"
"DMXJ2V5603","SC1110","จักราชวิทยา_SC1110"
"MMFHFM07LW","SC783","จักราชวิทยา_SC783"
"D7VMVP9W19","SC53","จักราชวิทยา_SC53"
"D2KKGXQ1VJ","SC584","จักราชวิทยา_SC584"
"L2KQTX2XP3","SC57","จักราชวิทยา_SC57"
"M9HKDYDH97","SC1005","จักราชวิทยา_SC1005"
"CVMHG2QFNQ","SC960","จักราชวิทยา_SC960"
"FTGV23H3JC","SC893","จักราชวิทยา_SC893"
"CY7G1FJYPN","SC440","จักราชวิทยา_SC440"
"HD9L9K9T6W","SC414","จักราชวิทยา_SC414"
"M529CD6VWV","SC425","จักราชวิทยา_SC425"
"LC4YV4C1K2","SC204","จักราชวิทยา_SC204"
"K4GFC9R4FG","SC599","จักราชวิทยา_SC599"
"CFJYW7XXKR","SC02","จักราชวิทยา_SC02"
"M90CJ34Y0F","SC51","จักราชวิทยา_SC51"
"C9WL731HPV","TC52","จักราชวิทยา_TC52"
"F3XM9XPM61","SC784","จักราชวิทยา_SC784"
"GWCYXC239H","SC797","จักราชวิทยา_SC797"
"G45175QJC6","SC282","จักราชวิทยา_SC282"
"FPYF75H4MC","SC216","จักราชวิทยา_SC216"
"F42MN24H56","TC65","จักราชวิทยา_TC65"
"K16J2CV69W","SC774","จักราชวิทยา_SC774"
"FP9WRW37ML","SC1031","จักราชวิทยา_SC1031"
"GPJG239G6M","SC926","จักราชวิทยา_SC926"
"JG7MM21W2F","SC82","จักราชวิทยา_SC82"
"HQML6Y475G","SC899","จักราชวิทยา_SC899"
"H6P6PVC9T9","TC90","จักราชวิทยา_TC90"
"J5QPYX5FPG","SC1111","จักราชวิทยา_SC1111"
"LG770YXRF0","SC1080","จักราชวิทยา_SC1080"
"J56X2M6GPL","SC990","จักราชวิทยา_SC990"
"CGGYKY07Q4","SC907","จักราชวิทยา_SC907"
"GXH29LL4V7","SC1017","จักราชวิทยา_SC1017"
"GRXVMFPMXG","SC612","จักราชวิทยา_SC612"
"FX6TC96LTD","SC490","จักราชวิทยา_SC490"
"KFHYC9WD2Y","SC42","จักราชวิทยา_SC42"
"FLV6DD9YC2","SC420","จักราชวิทยา_SC420"
"JJ2K4W7GT4","SC96","จักราชวิทยา_SC96"
"CL9R40K79H","SC172","จักราชวิทยา_SC172"
"HHYPWVL9GK","SC434","จักราชวิทยา_SC434"
"D1PCQ6MGMQ","TC113","จักราชวิทยา_TC113"
"LF934RHXVN","SC261","จักราชวิทยา_SC261"
"JW32W3XJFV","SC92","จักราชวิทยา_SC92"
"D0H9WT4YRX","SC380","จักราชวิทยา_SC380"
"GF3W9MR70X","SC753","จักราชวิทยา_SC753"
"D6WT62Y06W","SC491","จักราชวิทยา_SC491"
"CV643GVGFC","SC236","จักราชวิทยา_SC236"
"MQ6N16C2V2","SC1048","จักราชวิทยา_SC1048"
"G94T6HXY20","SC849","จักราชวิทยา_SC849"
"HQ5960V9Q6","TC122","จักราชวิทยา_TC122"
"KTY9DC9XC2","SC988","จักราชวิทยา_SC988"
